id,slug,title,title_2,cover,mal_link,aired_year,difficulty,added,added2
563493,563493,Godzilla 1: Kaijuu Wakusei,Godzilla: Planet of the Monsters,https://cdn.myanimelist.net/images/anime/1847/93081.jpg,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,2017,Hard,25, November 2024
563492,563492,Ingress the Animation,,https://cdn.myanimelist.net/images/anime/1944/93421.jpg,https://myanimelist.net/anime/37438/Ingress_the_Animation,2018,Hard,25, November 2024
563491,563491,Chinmoku no Kantai,Silent Service,https://cdn.myanimelist.net/images/anime/1624/101493.jpg,https://myanimelist.net/anime/2881/Chinmoku_no_Kantai,1995,Hard,25, November 2024
563490,563490,Zipang,,https://cdn.myanimelist.net/images/anime/13/75740.jpg,https://myanimelist.net/anime/29/Zipang,2004,Hard,25, November 2024
563489,563489,Sword Art Online Alternative: Gun Gale Online,,https://cdn.myanimelist.net/images/anime/1141/93288.jpg,https://myanimelist.net/anime/36475/Sword_Art_Online_Alternative__Gun_Gale_Online,2018,Medium,25, November 2024
563487,563487,Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel: Ars Nova,https://cdn.myanimelist.net/images/anime/6/56143.jpg,https://myanimelist.net/anime/18893/Aoki_Hagane_no_Arpeggio__Ars_Nova,2013,Hard,25, November 2024
563486,563486,High School Fleet,,https://cdn.myanimelist.net/images/anime/9/79670.jpg,https://myanimelist.net/anime/31500/High_School_Fleet,2016,Hard,25, November 2024
563485,563485,Biao Ren: Blades of the Guardians,Blades of the Guardians,https://cdn.myanimelist.net/images/anime/1968/110585.jpg,https://myanimelist.net/anime/44388/Biao_Ren__Blades_of_the_Guardians,2023,Hard,25, November 2024
563484,563484,Servant x Service,,https://cdn.myanimelist.net/images/anime/13/51579.jpg,https://myanimelist.net/anime/18119/Servant_x_Service,2013,Hard,25, November 2024
563483,563483,Quanzhi Fashi,Full-Time Magister,https://cdn.myanimelist.net/images/anime/9/83819.jpg,https://myanimelist.net/anime/34300/Quanzhi_Fashi,2016,Hard,25, November 2024
563482,563482,Flip Flappers,,https://cdn.myanimelist.net/images/anime/4/82292.jpg,https://myanimelist.net/anime/32979/Flip_Flappers,2016,Hard,25, November 2024
563481,563481,Code Geass: Dakkan no Rozé,Code Geass: Rozé of the Recapture,https://cdn.myanimelist.net/images/anime/1342/142228.jpg,https://myanimelist.net/anime/56835/Code_Geass__Dakkan_no_Rozé,2024,Hard,25, November 2024
